,Season Number,Season Start,Season End,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,``,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount
94,1,20-Dec-21,04-Feb-22,29,Businesses Of Tomorrow,95,PlayBoxTV,Services,Streaming Platform,2,2,0,0,0,Young,2017,Mumbai,Maharashtra,1020,0,0,0,100,3.5,2857,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,20-Dec-21,04-Feb-22,30,Sharks Ki Expertise,96,Sippline,Manufacturing,Portable Glass Attachment Drinking Shields,1,1,0,0,0,Middle,2019,Pune,Maharashtra,0,0,0,0,75,15,500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,20-Dec-21,04-Feb-22,30,Sharks Ki Expertise,97,KabaddiAdda,Sports,All-Kabaddi App,2,2,0,0,0,Middle,2019,Bangalore,Karnataka,250,0,0,0,80,1,8000,1,1,80,6,0,0,1333,2,no,0,0,0,0,40,3,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,20-Dec-21,04-Feb-22,30,Sharks Ki Expertise,98,ShadesofSpring,Services,Flowers,2,1,1,0,1,Young,2019,Bangalore,Karnataka,900,0,29,0,300,1,30000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,20-Dec-21,04-Feb-22,30,Sharks Ki Expertise,99,Scholify,Education,Scholarship Platform,1,1,0,0,0,Middle,0,Bangalore,Karnataka,0,0,0,0,50,7.5,667,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,20-Dec-21,04-Feb-22,31,Entrepreneurship Ki Raah,100,Scrapshala,Manufacturing,Handmade Reusable Scrap Materials,2,0,2,0,0,Middle,2016,Varanasi,Uttar Pradesh,0,2,0,0,50,10,500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,20-Dec-21,04-Feb-22,31,Entrepreneurship Ki Raah,101,Sabjikothi,Manufacturing,Vegetables Storage SaptKrishi,2,1,1,0,0,Young,0,Bhagalpur,Bihar,0,0,0,0,60,2.5,2400,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,20-Dec-21,04-Feb-22,31,Entrepreneurship Ki Raah,102,AyuRythm,Medical/Health,Ayurvedic Wellness App,3,3,0,0,0,Middle,2016,Bangalore,Karnataka,0,0,0,0,75,2,3750,1,1,75,2.68,0,0,2799,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,20-Dec-21,04-Feb-22,31,Entrepreneurship Ki Raah,103,Astrix,Manufacturing,Smart Locks Qtouch,2,1,1,0,1,Middle,2021,Coimbatore,Tamil Nadu,0,18,0,0,75,3,2500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,20-Dec-21,04-Feb-22,32,The Road To Success,104,TheaandSid,Services,Proposal Solutions,2,0,2,0,0,Middle,2021,Mumbai,Maharashtra,16,10,75,0,80,7,1143,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,20-Dec-21,04-Feb-22,32,The Road To Success,105,ExperentialEtc,Technology/Software,Technology layered advertisement services,2,2,0,0,0,Middle,2017,Mumbai,Maharashtra,100,0,0,0,200,4,5000,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,20-Dec-21,04-Feb-22,32,The Road To Success,106,GrowFitter,Technology/Software,Rewards App,2,2,0,0,0,Middle,2016,Mumbai,Maharashtra,170,0,0,0,50,1,5000,1,1,50,2,0,0,2500,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,20-Dec-21,04-Feb-22,32,The Road To Success,107,C3Med-Tech,Medical/Health,Portable ophthalmic vision devices,2,1,1,0,1,Middle,2019,Ahmedabad,Gujarat,0,0,0,0,35,6,583,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,20-Dec-21,04-Feb-22,33,Life-Changing Ideas,108,ColourMeMad-CMM,Beauty/Fashion,Insoles,2,1,1,0,1,Middle,2017,Mumbai,Maharashtra,0,0.66,0,0,40,10,400,1,1,40,25,0,0,160,1,no,0,0,0,0,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,20-Dec-21,04-Feb-22,33,Life-Changing Ideas,109,Mavi's,Food,Vegan Fermented Food,2,1,1,0,1,Middle,2018,Thane,Maharashtra,0,2,0,0,40,5,800,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,20-Dec-21,04-Feb-22,33,Life-Changing Ideas,110,TweekLabs,Sports,Sportswear,4,4,0,0,0,Middle,2019,Delhi,Delhi,0,0,0,0,40,2,2000,1,1,60,10,0,0,600,3,no,0,20,3.33,0,0,0,0,20,3.33,0,0,0,0,0,0,0,20,3.33,0,0,0,0,0,0,0,0,0,0
110,1,20-Dec-21,04-Feb-22,33,Life-Changing Ideas,111,Proxgy,Technology/Software,Virtual Reality,2,2,0,0,0,Middle,2020,Delhi,Delhi,0,0,0,0,35,1,3500,1,1,100,10,0,0,1000,2,no,0,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,0,0,0,0,0,0,0,0,0,0
111,1,20-Dec-21,04-Feb-22,34,Scaling Ambitions,112,NomadFoodProject,Food,Bacon Jams Relishes,2,2,0,0,0,Young,2019,"Delhi,Pune","Delhi,Maharashtra",0,3,70,0,40,10,400,1,1,40,20,0,0,200,4,no,0,10,5,0,10,5,0,0,0,0,10,5,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0
112,1,20-Dec-21,04-Feb-22,34,Scaling Ambitions,113,TweeInOne,Beauty/Fashion,Reversible and convertible clothing,1,0,1,0,0,Young,2017,Mumbai,Maharashtra,0,0,0,0,30,7.5,400,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,20-Dec-21,04-Feb-22,34,Scaling Ambitions,114,GreenProtein,Food,Plant-Based Protein,2,1,1,0,1,Middle,2019,Mumbai,Maharashtra,0,12,40,0,60,2,3000,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,20-Dec-21,04-Feb-22,34,Scaling Ambitions,115,On2Cook,Food,Fastest Cooking Device,1,1,0,0,0,Middle,0,Ahmedabad,Gujarat,0,0,0,0,100,1,10000,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,20-Dec-21,04-Feb-22,35,The Final Destination,116,JainShikanji,Food,Lemonade,1,1,0,0,0,Middle,2017,Modinagar,Uttar Pradesh,0,2,0,0,40,8,500,1,1,40,30,0,0,133,4,no,0,10,7.5,0,0,0,0,10,7.5,0,10,7.5,0,10,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
